area_code,area_name,area_unit,dimension,dimension_value,population_base,population
E06000003,Redcar and Cleveland,Local Authority,ethnicity,Other ethnic group,asc_eligible,91
E06000003,Redcar and Cleveland,Local Authority,ethnicity,Other ethnic group,published,343
E06000003,Redcar and Cleveland,Local Authority,ethnicity,White,asc_eligible,47630
E06000003,Redcar and Cleveland,Local Authority,ethnicity,White,published,107299
E06000003,Redcar and Cleveland,Local Authority,gender,All,published,111729
E06000003,Redcar and Cleveland,Local Authority,gender,Female,published,58016
E06000003,Redcar and Cleveland,Local Authority,gender,Male,published,53713
E06000004,Stockton-on-Tees,Local Authority,age_group,18 to 24,published,13794
E06000004,Stockton-on-Tees,Local Authority,age_group,18 to 64,asc_eligible,22027
E06000004,Stockton-on-Tees,Local Authority,age_group,18 to 64,published,121414
E06000004,Stockton-on-Tees,Local Authority,age_group,25 to 44,published,55337
E06000004,Stockton-on-Tees,Local Authority,age_group,45 to 64,published,52283
E06000004,Stockton-on-Tees,Local Authority,age_group,65 and above,asc_eligible,37182
E06000004,Stockton-on-Tees,Local Authority,age_group,65 and above,published,40307
E06000004,Stockton-on-Tees,Local Authority,age_group,65 to 74,published,21630
E06000004,Stockton-on-Tees,Local Authority,age_group,75 to 84,published,13924
E06000004,Stockton-on-Tees,Local Authority,age_group,85 and above,published,4753
E06000004,Stockton-on-Tees,Local Authority,age_group,All,asc_eligible,59209
E06000004,Stockton-on-Tees,Local Authority,age_group,All,published,161721
E06000004,Stockton-on-Tees,Local Authority,ethnicity,All,asc_eligible,59209
E06000004,Stockton-on-Tees,Local Authority,ethnicity,All,published,153331
E06000004,Stockton-on-Tees,Local Authority,ethnicity,Asian or Asian British,asc_eligible,1233
E06000004,Stockton-on-Tees,Local Authority,ethnicity,Asian or Asian British,published,6316
E06000004,Stockton-on-Tees,Local Authority,ethnicity,"Black, Black British, Caribbean or African",asc_eligible,166
E06000004,Stockton-on-Tees,Local Authority,ethnicity,"Black, Black British, Caribbean or African",published,1420
E06000004,Stockton-on-Tees,Local Authority,ethnicity,Mixed or multiple ethnic groups,asc_eligible,313
E06000004,Stockton-on-Tees,Local Authority,ethnicity,Mixed or multiple ethnic groups,published,1343
E06000004,Stockton-on-Tees,Local Authority,ethnicity,Other ethnic group,asc_eligible,237
E06000004,Stockton-on-Tees,Local Authority,ethnicity,Other ethnic group,published,1163
E06000004,Stockton-on-Tees,Local Authority,ethnicity,White,asc_eligible,57260
E06000004,Stockton-on-Tees,Local Authority,ethnicity,White,published,143089
E06000004,Stockton-on-Tees,Local Authority,gender,All,published,161721
E06000004,Stockton-on-Tees,Local Authority,gender,Female,published,82188
E06000004,Stockton-on-Tees,Local Authority,gender,Male,published,79533
E06000005,Darlington,Local Authority,age_group,18 to 24,published,7358
E06000005,Darlington,Local Authority,age_group,18 to 64,asc_eligible,11678
E06000005,Darlington,Local Authority,age_group,18 to 64,published,65921
E06000005,Darlington,Local Authority,age_group,25 to 44,published,29008
E06000005,Darlington,Local Authority,age_group,45 to 64,published,29555
E06000005,Darlington,Local Authority,age_group,65 and above,asc_eligible,22036
E06000005,Darlington,Local Authority,age_group,65 and above,published,23797
E06000005,Darlington,Local Authority,age_group,65 to 74,published,12111
E06000005,Darlington,Local Authority,age_group,75 to 84,published,8538
E06000005,Darlington,Local Authority,age_group,85 and above,published,3148
E06000005,Darlington,Local Authority,age_group,All,asc_eligible,33714
E06000005,Darlington,Local Authority,age_group,All,published,89718
E06000005,Darlington,Local Authority,ethnicity,All,asc_eligible,33714
E06000005,Darlington,Local Authority,ethnicity,All,published,85568
E06000005,Darlington,Local Authority,ethnicity,Asian or Asian British,asc_eligible,396
E06000005,Darlington,Local Authority,ethnicity,Asian or Asian British,published,2150
E06000005,Darlington,Local Authority,ethnicity,"Black, Black British, Caribbean or African",asc_eligible,100
E06000005,Darlington,Local Authority,ethnicity,"Black, Black British, Caribbean or African",published,519
E06000005,Darlington,Local Authority,ethnicity,Mixed or multiple ethnic groups,asc_eligible,163
E06000005,Darlington,Local Authority,ethnicity,Mixed or multiple ethnic groups,published,715
E06000005,Darlington,Local Authority,ethnicity,Other ethnic group,asc_eligible,115
E06000005,Darlington,Local Authority,ethnicity,Other ethnic group,published,634
E06000005,Darlington,Local Authority,ethnicity,White,asc_eligible,32940
E06000005,Darlington,Local Authority,ethnicity,White,published,81550
E06000005,Darlington,Local Authority,gender,All,published,89718
E06000005,Darlington,Local Authority,gender,Female,published,46092
E06000005,Darlington,Local Authority,gender,Male,published,43626
E06000006,Halton,Local Authority,age_group,18 to 24,published,9696
E06000006,Halton,Local Authority,age_group,18 to 64,asc_eligible,16429
E06000006,Halton,Local Authority,age_group,18 to 64,published,78425
E06000006,Halton,Local Authority,age_group,25 to 44,published,34532
E06000006,Halton,Local Authority,age_group,45 to 64,published,34197
E06000006,Halton,Local Authority,age_group,65 and above,asc_eligible,23957
E06000006,Halton,Local Authority,age_group,65 and above,published,25379
E06000006,Halton,Local Authority,age_group,65 to 74,published,14234
E06000006,Halton,Local Authority,age_group,75 to 84,published,8600
E06000006,Halton,Local Authority,age_group,85 and above,published,2545
E06000006,Halton,Local Authority,age_group,All,asc_eligible,40386
E06000006,Halton,Local Authority,age_group,All,published,103804
E06000006,Halton,Local Authority,ethnicity,All,asc_eligible,40386
E06000006,Halton,Local Authority,ethnicity,All,published,100958
E06000006,Halton,Local Authority,ethnicity,Asian or Asian British,asc_eligible,227
E06000006,Halton,Local Authority,ethnicity,Asian or Asian British,published,1120
E06000006,Halton,Local Authority,ethnicity,"Black, Black British, Caribbean or African",asc_eligible,96
E06000006,Halton,Local Authority,ethnicity,"Black, Black British, Caribbean or African",published,417
E06000006,Halton,Local Authority,ethnicity,Mixed or multiple ethnic groups,asc_eligible,264
E06000006,Halton,Local Authority,ethnicity,Mixed or multiple ethnic groups,published,953
E06000006,Halton,Local Authority,ethnicity,Other ethnic group,asc_eligible,109
E06000006,Halton,Local Authority,ethnicity,Other ethnic group,published,557
E06000006,Halton,Local Authority,ethnicity,White,asc_eligible,39690
E06000006,Halton,Local Authority,ethnicity,White,published,97911
E06000006,Halton,Local Authority,gender,All,published,103804
E06000006,Halton,Local Authority,gender,Female,published,53338
E06000006,Halton,Local Authority,gender,Male,published,50466
E06000007,Warrington,Local Authority,age_group,18 to 24,published,13641
E06000007,Warrington,Local Authority,age_group,18 to 64,asc_eligible,20626
E06000007,Warrington,Local Authority,age_group,18 to 64,published,127907
E06000007,Warrington,Local Authority,age_group,25 to 44,published,55646
E06000007,Warrington,Local Authority,age_group,45 to 64,published,58620
E06000007,Warrington,Local Authority,age_group,65 and above,asc_eligible,40160
E06000007,Warrington,Local Authority,age_group,65 and above,published,42685
E06000007,Warrington,Local Authority,age_group,65 to 74,published,21276
E06000007,Warrington,Local Authority,age_group,75 to 84,published,15754
E06000007,Warrington,Local Authority,age_group,85 and above,published,5655
E06000007,Warrington,Local Authority,age_group,All,asc_eligible,60786
E06000007,Warrington,Local Authority,age_group,All,published,170592
E06000007,Warrington,Local Authority,ethnicity,All,asc_eligible,60786
E06000007,Warrington,Local Authority,ethnicity,All,published,167848
E06000007,Warrington,Local Authority,ethnicity,Asian or Asian British,asc_eligible,814
E06000007,Warrington,Local Authority,ethnicity,Asian or Asian British,published,5085
